model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.5500000000000003,validation,0.9767696728761549,0.9730672350319706,0.9684821428571428,0.985057202895167,0.9959751592675361,,
route_only,0.5500000000000003,test_ff,0.9555111177149229,0.9575025404135258,0.9675222354298457,0.9435,0.9916465521777698,,
route_only,0.5500000000000003,ood,0.7568195401948533,0.7931273340595956,0.8172219460690502,0.6964171343206561,0.8398544958322032,,
route_only,0.5500000000000003,cdf_real_subset,,0.2589031339031339,,0.2589031339031339,,0.7410968660968661,0.7394094467163086
patch_only,0.6400000000000003,validation,0.8966249770688103,0.8949815927145902,0.8929464285714286,0.900303525566192,0.904417422701044,,
patch_only,0.6400000000000003,test_ff,0.8231877906780455,0.8542238743494133,0.9398755813560907,0.7064999999999999,0.8303124016427867,,
patch_only,0.6400000000000003,ood,0.7450148177325405,0.7907986308549629,0.6427164874229145,0.8473131480421664,0.7590735660743819,,
patch_only,0.6400000000000003,cdf_real_subset,,0.5302350427350427,,0.5302350427350427,,0.46976495726495726,0.4700371026992798
pair_only,0.2,validation,0.9428217141689736,0.9311502938706969,0.9166964285714285,0.9689469997665188,0.9893756045495481,,
pair_only,0.2,test_ff,0.9239473473186038,0.9185480626357831,0.9143946946372079,0.9334999999999999,0.9804314114788807,,
pair_only,0.2,ood,0.7869818623606997,0.8127212005518637,0.7680606897853933,0.805903034936006,0.8399160846889179,,
pair_only,0.2,cdf_real_subset,,0.3646723646723647,,0.3646723646723647,,0.6353276353276354,0.36542564630508423
route_meta_fusion,0.2,validation,0.9808482142857142,0.9722921914357683,0.9616964285714286,1.0,0.9999345835695941,,
route_meta_fusion,0.2,test_ff,0.9503337744521733,0.9466632062996206,0.9451675489043464,0.9555,0.9889565138885404,,
route_meta_fusion,0.2,ood,0.8023888238645558,0.8554755397141974,0.7012723795594561,0.9035052681696557,0.8523796713215114,,
route_meta_fusion,0.2,cdf_real_subset,,0.525,,0.525,,0.475,0.4105781614780426
