model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.5500000000000003,validation,0.9767696728761549,0.9730672350319706,0.9684821428571428,0.985057202895167,0.9959751592675361,,
route_only,0.5500000000000003,test_ff,0.9555111177149229,0.9575025404135258,0.9675222354298457,0.9435,0.9916465521777698,,
route_only,0.5500000000000003,ood,0.7568195401948533,0.7931273340595956,0.8172219460690502,0.6964171343206561,0.8398544958322032,,
route_only,0.5500000000000003,cdf_real_subset,,0.2589031339031339,,0.2589031339031339,,0.7410968660968661,0.7394094467163086
patch_only,0.6400000000000003,validation,0.8966249770688103,0.8949815927145902,0.8929464285714286,0.900303525566192,0.904417422701044,,
patch_only,0.6400000000000003,test_ff,0.8231877906780455,0.8542238743494133,0.9398755813560907,0.7064999999999999,0.8303124016427867,,
patch_only,0.6400000000000003,ood,0.7450148177325405,0.7907986308549629,0.6427164874229145,0.8473131480421664,0.7590735660743819,,
patch_only,0.6400000000000003,cdf_real_subset,,0.5302350427350427,,0.5302350427350427,,0.46976495726495726,0.4700371026992798
pair_only,0.2,validation,0.9494014021380208,0.9407737518568753,0.9300892857142857,0.9687135185617558,0.989383505386745,,
pair_only,0.2,test_ff,0.9383144199655455,0.9380679409811417,0.946128839931091,0.9304999999999999,0.9830675432286519,,
pair_only,0.2,ood,0.7809925203314204,0.8019700554106048,0.7980479385804595,0.7639371020823812,0.8243702475268728,,
pair_only,0.2,cdf_real_subset,,0.35505698005698005,,0.35505698005698005,,0.64494301994302,0.3499898314476013
route_meta_fusion,0.2,validation,0.9805803571428571,0.9719046696376671,0.9611607142857143,1.0,0.999938002401521,,
route_meta_fusion,0.2,test_ff,0.9502796059141002,0.9464290428567265,0.9445592118282004,0.956,0.9885973065420711,,
route_meta_fusion,0.2,ood,0.8008377555440949,0.8545032494293259,0.6989345178592797,0.90274099322891,0.8537637061872204,,
route_meta_fusion,0.2,cdf_real_subset,,0.5257478632478633,,0.5257478632478633,,0.47425213675213673,0.41108444333076477
