model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.5500000000000003,validation,0.9767696728761549,0.9730672350319706,0.9684821428571428,0.985057202895167,0.9959751592675361,,
route_only,0.5500000000000003,test_ff,0.9555111177149229,0.9575025404135258,0.9675222354298457,0.9435,0.9916465521777698,,
route_only,0.5500000000000003,ood,0.7568195401948533,0.7931273340595956,0.8172219460690502,0.6964171343206561,0.8398544958322032,,
route_only,0.5500000000000003,cdf_real_subset,,0.2589031339031339,,0.2589031339031339,,0.7410968660968661,0.7394094467163086
patch_only,0.6400000000000003,validation,0.8966249770688103,0.8949815927145902,0.8929464285714286,0.900303525566192,0.904417422701044,,
patch_only,0.6400000000000003,test_ff,0.8231877906780455,0.8542238743494133,0.9398755813560907,0.7064999999999999,0.8303124016427867,,
patch_only,0.6400000000000003,ood,0.7450148177325405,0.7907986308549629,0.6427164874229145,0.8473131480421664,0.7590735660743819,,
patch_only,0.6400000000000003,cdf_real_subset,,0.5302350427350427,,0.5302350427350427,,0.46976495726495726,0.4700371026992798
pair_only,0.2,validation,0.9443326502618326,0.9330233158948524,0.9190178571428571,0.9696474433808079,0.9893313056602514,,
pair_only,0.2,test_ff,0.9275865202913849,0.92296808873368,0.9201730405827698,0.9349999999999999,0.9818417067942771,,
pair_only,0.2,ood,0.787428972668546,0.8135129050456094,0.7622332487003121,0.8126246966367798,0.8388613967284737,,
pair_only,0.2,cdf_real_subset,,0.375997150997151,,0.375997150997151,,0.624002849002849,0.3599777817726135
route_meta_fusion,0.2,validation,0.9805357142857143,0.9718400826713169,0.9610714285714286,1.0,0.9999436726593508,,
route_meta_fusion,0.2,test_ff,0.9506827599665911,0.9468173756552919,0.9448655199331825,0.9565,0.9887495021075701,,
route_meta_fusion,0.2,ood,0.8015145586470238,0.854985479062882,0.6992273309907627,0.9038017863032851,0.8527689506723547,,
route_meta_fusion,0.2,cdf_real_subset,,0.5254985754985755,,0.5254985754985755,,0.4745014245014245,0.4104839265346527
