threshold,split,scope,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
0.1,validation,pooled,0.9881249999999999,0.9828198669508493,0.97625,1.0,0.9999436726593508,,
0.1,test_ff,summary,0.9440057361572564,0.9447540320264186,0.9535114723145126,0.9345,0.9887495021075701,,
0.1,ood,summary,0.8042021001487791,0.8558729724164716,0.7206371185179248,0.8877670817796334,0.8527689506723547,,
0.1,cdf_real_subset,Celeb-real,,0.5368268144402002,,0.5368268144402002,,0.46317318555979986,0.3554953932762146
0.1,cdf_real_subset,YouTube-real,,0.39165701042873696,,0.39165701042873696,,0.608342989571263,0.5181499123573303
0.1,cdf_real_subset,pooled,,0.4877492877492878,,0.4877492877492878,,0.5122507122507123,0.4104839265346527
0.2,validation,pooled,0.9805357142857143,0.9718400826713169,0.9610714285714286,1.0,0.9999436726593508,,
0.2,test_ff,summary,0.9506827599665911,0.9468173756552919,0.9448655199331825,0.9565,0.9887495021075701,,
0.2,ood,summary,0.8015145586470238,0.854985479062882,0.6992273309907627,0.9038017863032851,0.8527689506723547,,
0.2,cdf_real_subset,Celeb-real,,0.5779308118577501,,0.5779308118577501,,0.42206918814225,0.3554953932762146
0.2,cdf_real_subset,YouTube-real,,0.4228378805435584,,0.4228378805435584,,0.5771621194564416,0.5181499123573303
0.2,cdf_real_subset,pooled,,0.5254985754985755,,0.5254985754985755,,0.4745014245014245,0.4104839265346527
0.3,validation,pooled,0.9759375,0.9651876251372473,0.951875,1.0,0.9999436726593508,,
0.3,test_ff,summary,0.9514755454159082,0.9451846958758229,0.9379510908318164,0.9650000000000001,0.9887495021075701,,
0.3,ood,summary,0.801349187748976,0.8549745353233384,0.6879016795208516,0.9147966959771008,0.8527689506723547,,
0.3,cdf_real_subset,Celeb-real,,0.6032173024156668,,0.6032173024156668,,0.39678269758433315,0.3554953932762146
0.3,cdf_real_subset,YouTube-real,,0.4460128515748446,,0.4460128515748446,,0.5539871484251554,0.5181499123573303
0.3,cdf_real_subset,pooled,,0.5500712250712251,,0.5500712250712251,,0.4499287749287749,0.4104839265346527
0.4,validation,pooled,0.9726785714285715,0.9604727765936834,0.9453571428571429,1.0,0.9999436726593508,,
0.4,test_ff,summary,0.9525397209574692,0.9439199486549025,0.9315794419149385,0.9735000000000001,0.9887495021075701,,
0.4,ood,summary,0.7997948516303609,0.8534188901956008,0.6759325513913182,0.9236571518694037,0.8527689506723547,,
0.4,cdf_real_subset,Celeb-real,,0.6265131543551945,,0.6265131543551945,,0.3734868456448055,0.3554953932762146
0.4,cdf_real_subset,YouTube-real,,0.4648688507321184,,0.4648688507321184,,0.5351311492678816,0.5181499123573303
0.4,cdf_real_subset,pooled,,0.5718660968660969,,0.5718660968660969,,0.42813390313390315,0.4104839265346527
0.5,validation,pooled,0.96875,0.9547891235548667,0.9375,1.0,0.9999436726593508,,
0.5,test_ff,summary,0.9524974653606985,0.9417857332151854,0.9249949307213969,0.9799999999999998,0.9887495021075701,,
0.5,ood,summary,0.7975676794947524,0.8514483700113537,0.6653526278993552,0.9297827310901496,0.8527689506723547,,
0.5,cdf_real_subset,Celeb-real,,0.6476569645451121,,0.6476569645451121,,0.3523430354548878,0.3554953932762146
0.5,cdf_real_subset,YouTube-real,,0.480669967344359,,0.480669967344359,,0.519330032655641,0.5181499123573303
0.5,cdf_real_subset,pooled,,0.5912037037037037,,0.5912037037037037,,0.40879629629629627,0.4104839265346527
0.6,validation,pooled,0.9652678571428571,0.9497513401795518,0.9305357142857142,1.0,0.9999436726593508,,
0.6,test_ff,summary,0.9516498127271726,0.9391218391074213,0.9182996254543451,0.9850000000000001,0.9887495021075701,,
0.6,ood,summary,0.7951152335814559,0.8489444408486276,0.6532512366498672,0.9369792305130447,0.8527689506723547,,
0.6,cdf_real_subset,Celeb-real,,0.6668101361166406,,0.6668101361166406,,0.33318986388335936,0.3554953932762146
0.6,cdf_real_subset,YouTube-real,,0.4967871062888444,,0.4967871062888444,,0.5032128937111556,0.5181499123573303
0.6,cdf_real_subset,pooled,,0.6093304843304843,,0.6093304843304843,,0.3906695156695157,0.4104839265346527
0.7,validation,pooled,0.9606696428571428,0.9430988826454821,0.9213392857142857,1.0,0.9999436726593508,,
0.7,test_ff,summary,0.9495629929550793,0.9351753543076452,0.9106259859101588,0.9885,0.9887495021075701,,
0.7,ood,summary,0.7903504949253864,0.8445276345280449,0.6377418485591101,0.9429591412916628,0.8527689506723547,,
0.7,cdf_real_subset,Celeb-real,,0.6858557056006886,,0.6858557056006886,,0.31414429439931135,0.3554953932762146
0.7,cdf_real_subset,YouTube-real,,0.512588222901085,,0.512588222901085,,0.487411777098915,0.5181499123573303
0.7,cdf_real_subset,pooled,,0.6272792022792023,,0.6272792022792023,,0.37272079772079775,0.4104839265346527
0.8,validation,pooled,0.9554464285714286,0.9355422075825098,0.9108928571428572,1.0,0.9999436726593508,,
0.8,test_ff,summary,0.9465392259764163,0.9295667238333123,0.899578451952832,0.9934999999999999,0.9887495021075701,,
0.8,ood,summary,0.7852860716805904,0.8395218639315378,0.6193762332806697,0.9511959100805111,0.8527689506723547,,
0.8,cdf_real_subset,Celeb-real,,0.7085059450153333,,0.7085059450153333,,0.2914940549846667,0.3554953932762146
0.8,cdf_real_subset,YouTube-real,,0.534393763825977,,0.534393763825977,,0.46560623617402297,0.5181499123573303
0.8,cdf_real_subset,pooled,,0.6496438746438746,,0.6496438746438746,,0.35035612535612537,0.4104839265346527
0.9,validation,pooled,0.9448660714285715,0.9202350965575147,0.8897321428571429,1.0,0.9999436726593508,,
0.9,test_ff,summary,0.9385526138353312,0.9178101109387017,0.8791052276706623,0.9979999999999999,0.9887495021075701,,
0.9,ood,summary,0.7744364239767833,0.8285894883734274,0.5854954811486052,0.9633773668049614,0.8527689506723547,,
0.9,cdf_real_subset,Celeb-real,,0.7463818798084683,,0.7463818798084683,,0.25361812019153174,0.3554953932762146
0.9,cdf_real_subset,YouTube-real,,0.5686295164858317,,0.5686295164858317,,0.43137048351416835,0.5181499123573303
0.9,cdf_real_subset,pooled,,0.6862891737891738,,0.6862891737891738,,0.3137108262108262,0.4104839265346527
