threshold,split,scope,num_images,mean_fake_prob,fake_positive_rate,real_accuracy
0.1,cdf_fake_only,summary,650612,0.8889603018760681,0.9293680411673931,
0.1,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.46317318555979986,0.5368268144402002
0.1,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.608342989571263,0.39165701042873696
0.1,cdf_real_subset,pooled,28080,0.4104839861392975,0.5122507122507123,0.4877492877492878
0.2,cdf_fake_only,summary,650612,0.8889603018760681,0.9164448242577757,
0.2,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.42206918814225,0.5779308118577501
0.2,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.5771621194564416,0.4228378805435584
0.2,cdf_real_subset,pooled,28080,0.4104839861392975,0.4745014245014245,0.5254985754985755
0.3,cdf_fake_only,summary,650612,0.8889603018760681,0.9068938168985509,
0.3,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.39678269758433315,0.6032173024156668
0.3,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.5539871484251554,0.4460128515748446
0.3,cdf_real_subset,pooled,28080,0.4104839861392975,0.4499287749287749,0.5500712250712251
0.4,cdf_fake_only,summary,650612,0.8889603018760681,0.8985754950723319,
0.4,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.3734868456448055,0.6265131543551945
0.4,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.5351311492678816,0.4648688507321184
0.4,cdf_real_subset,pooled,28080,0.4104839861392975,0.42813390313390315,0.5718660968660969
0.5,cdf_fake_only,summary,650612,0.8889603018760681,0.8910610317670132,
0.5,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.3523430354548878,0.6476569645451121
0.5,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.519330032655641,0.480669967344359
0.5,cdf_real_subset,pooled,28080,0.4104839861392975,0.40879629629629627,0.5912037037037037
0.6,cdf_fake_only,summary,650612,0.8889603018760681,0.8836818257271615,
0.6,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.33318986388335936,0.6668101361166406
0.6,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.5032128937111556,0.4967871062888444
0.6,cdf_real_subset,pooled,28080,0.4104839861392975,0.3906695156695157,0.6093304843304843
0.7,cdf_fake_only,summary,650612,0.8889603018760681,0.8760382532138971,
0.7,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.31414429439931135,0.6858557056006886
0.7,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.487411777098915,0.512588222901085
0.7,cdf_real_subset,pooled,28080,0.4104839861392975,0.37272079772079775,0.6272792022792023
0.8,cdf_fake_only,summary,650612,0.8889603018760681,0.8662336384819216,
0.8,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.2914940549846667,0.7085059450153333
0.8,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.46560623617402297,0.534393763825977
0.8,cdf_real_subset,pooled,28080,0.4104839861392975,0.35035612535612537,0.6496438746438746
0.9,cdf_fake_only,summary,650612,0.8889603018760681,0.8494187011613681,
0.9,cdf_real_subset,Celeb-real,18587,0.355495423078537,0.25361812019153174,0.7463818798084683
0.9,cdf_real_subset,YouTube-real,9493,0.5181499123573303,0.43137048351416835,0.5686295164858317
0.9,cdf_real_subset,pooled,28080,0.4104839861392975,0.3137108262108262,0.6862891737891738
