model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.6800000000000004,validation,0.9719951333761383,0.9707947205841055,0.9659375,0.9780527667522765,0.9957321277434042,,
route_only,0.6800000000000004,test_ff,0.9324536373950378,0.9342606576125805,0.9474072747900756,0.9175,0.984231859183619,,
route_only,0.6800000000000004,ood,0.7548533794145077,0.7844652767412902,0.8523731715969644,0.657333587232051,0.8578405525835932,,
route_only,0.6800000000000004,cdf_real_subset,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.717184841632843
patch_only,0.7700000000000005,validation,0.9449454602498248,0.9486099410278012,0.9634375,0.9264534204996497,0.9521374292260099,,
patch_only,0.7700000000000005,test_ff,0.820769098493033,0.8370142130996241,0.8955381969860661,0.7459999999999999,0.8336697734292551,,
patch_only,0.7700000000000005,ood,0.772721531413981,0.8072821565300946,0.7025189723686524,0.8429240904593097,0.7822214144862848,,
patch_only,0.7700000000000005,cdf_real_subset,,0.7323005698005698,,0.7323005698005698,,0.2676994301994302,0.2683838903903961
pair_only,0.22000000000000003,validation,0.9496996483189353,0.9490779743517739,0.9465625,0.9528367966378707,0.9886516825239319,,
pair_only,0.22000000000000003,test_ff,0.8882674854143646,0.8796054072831101,0.8740349708287292,0.9025,0.9612179784486095,,
pair_only,0.22000000000000003,ood,0.7893833927266153,0.8038343878569055,0.7852992386272163,0.7934675468260144,0.8567579769191062,,
pair_only,0.22000000000000003,cdf_real_subset,,0.5578347578347579,,0.5578347578347579,,0.44216524216524217,0.2502773404121399
route_meta_fusion,0.2,validation,0.9961718749999999,0.9954132734250679,0.99234375,1.0,0.9999975922250759,,
route_meta_fusion,0.2,test_ff,0.8972626872253381,0.8792838566229488,0.856525374450676,0.9379999999999998,0.973409376327397,,
route_meta_fusion,0.2,ood,0.8071314522302849,0.858283314704111,0.7105994778617744,0.9036634265987956,0.8738788502428156,,
route_meta_fusion,0.2,cdf_real_subset,,0.7338675213675213,,0.7338675213675213,,0.26613247863247863,0.2286960482597351
