model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.6800000000000004,validation,0.9719951333761383,0.9707947205841055,0.9659375,0.9780527667522765,0.9957321277434042,,
route_only,0.6800000000000004,test_ff,0.9324536373950378,0.9342606576125805,0.9474072747900756,0.9175,0.984231859183619,,
route_only,0.6800000000000004,ood,0.7548533794145077,0.7844652767412902,0.8523731715969644,0.657333587232051,0.8578405525835932,,
route_only,0.6800000000000004,cdf_real_subset,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.717184841632843
patch_only,0.7700000000000005,validation,0.9449454602498248,0.9486099410278012,0.9634375,0.9264534204996497,0.9521374292260099,,
patch_only,0.7700000000000005,test_ff,0.820769098493033,0.8370142130996241,0.8955381969860661,0.7459999999999999,0.8336697734292551,,
patch_only,0.7700000000000005,ood,0.772721531413981,0.8072821565300946,0.7025189723686524,0.8429240904593097,0.7822214144862848,,
patch_only,0.7700000000000005,cdf_real_subset,,0.7323005698005698,,0.7323005698005698,,0.2676994301994302,0.2683838903903961
pair_only,0.22000000000000003,validation,0.9538007639213169,0.9539455209210895,0.95453125,0.9530702778426337,0.9885391372869484,,
pair_only,0.22000000000000003,test_ff,0.9057032210638193,0.9035157536819313,0.9124064421276386,0.899,0.9648396786373946,,
pair_only,0.22000000000000003,ood,0.7823499852837008,0.7921228853682379,0.8363602630038273,0.7283397075635741,0.8446630824763165,,
pair_only,0.22000000000000003,cdf_real_subset,,0.5530982905982906,,0.5530982905982906,,0.4469017094017094,0.2402968406677246
route_meta_fusion,0.2,validation,0.9961718749999999,0.9954132734250679,0.99234375,1.0,0.9999979570394584,,
route_meta_fusion,0.2,test_ff,0.8979385671165372,0.8806957128689488,0.8593771342330743,0.9364999999999999,0.9742065736213893,,
route_meta_fusion,0.2,ood,0.8060544425093479,0.8575305790223657,0.7114160904584415,0.9006927945602543,0.8746478245938646,,
route_meta_fusion,0.2,cdf_real_subset,,0.7303062678062678,,0.7303062678062678,,0.2696937321937322,0.23189257085323334
