model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.6800000000000004,validation,0.9719951333761383,0.9707947205841055,0.9659375,0.9780527667522765,0.9957321277434042,,
route_only,0.6800000000000004,test_ff,0.9324536373950378,0.9342606576125805,0.9474072747900756,0.9175,0.984231859183619,,
route_only,0.6800000000000004,ood,0.7548533794145077,0.7844652767412902,0.8523731715969644,0.657333587232051,0.8578405525835932,,
route_only,0.6800000000000004,cdf_real_subset,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.717184841632843
patch_only,0.7700000000000005,validation,0.9449454602498248,0.9486099410278012,0.9634375,0.9264534204996497,0.9521374292260099,,
patch_only,0.7700000000000005,test_ff,0.820769098493033,0.8370142130996241,0.8955381969860661,0.7459999999999999,0.8336697734292551,,
patch_only,0.7700000000000005,ood,0.772721531413981,0.8072821565300946,0.7025189723686524,0.8429240904593097,0.7822214144862848,,
patch_only,0.7700000000000005,cdf_real_subset,,0.7323005698005698,,0.7323005698005698,,0.2676994301994302,0.2683838903903961
pair_only,0.24000000000000005,validation,0.948789144583236,0.9467378077319105,0.9384375,0.959140789166472,0.9881579792201727,,
pair_only,0.24000000000000005,test_ff,0.8884342744891522,0.8747222923115092,0.8583685489783044,0.9185000000000001,0.9619562418859104,,
pair_only,0.24000000000000005,ood,0.7856457764821475,0.8024453903395415,0.7610690840485886,0.8102224689157062,0.8521589020547994,,
pair_only,0.24000000000000005,cdf_real_subset,,0.6093304843304843,,0.6093304843304843,,0.3906695156695157,0.23145389556884766
route_meta_fusion,0.2,validation,0.9961718749999999,0.9954132734250679,0.99234375,1.0,0.9999977746322672,,
route_meta_fusion,0.2,test_ff,0.8972693502485168,0.8792930215232425,0.8565387004970336,0.9379999999999998,0.9733813138022592,,
route_meta_fusion,0.2,ood,0.806686083682017,0.8578390061251868,0.709590878235611,0.9037812891284229,0.8739814440263681,,
route_meta_fusion,0.2,cdf_real_subset,,0.7348646723646723,,0.7348646723646723,,0.26513532763532766,0.22818823158740997
