threshold,split,scope,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
0.1,validation,pooled,0.9984770093976185,0.9982214733689039,0.9971875,0.999766518795237,0.9999977746322672,,
0.1,test_ff,summary,0.8939587573977504,0.8810528394104966,0.8694175147955008,0.9185000000000001,0.9733813138022592,,
0.1,ood,summary,0.8066987031594621,0.8569288720063125,0.7238972528360059,0.8895001534829184,0.8739814440263681,,
0.1,cdf_real_subset,Celeb-real,,0.7506321622639479,,0.7506321622639479,,0.2493678377360521,0.19616834819316864
0.1,cdf_real_subset,YouTube-real,,0.6526914568629516,,0.6526914568629516,,0.34730854313704834,0.2908821702003479
0.1,cdf_real_subset,pooled,,0.7175213675213675,,0.7175213675213675,,0.2824786324786325,0.22818823158740997
0.2,validation,pooled,0.9961718749999999,0.9954132734250679,0.99234375,1.0,0.9999977746322672,,
0.2,test_ff,summary,0.8972693502485168,0.8792930215232425,0.8565387004970336,0.9379999999999998,0.9733813138022592,,
0.2,ood,summary,0.806686083682017,0.8578390061251868,0.709590878235611,0.9037812891284229,0.8739814440263681,,
0.2,cdf_real_subset,Celeb-real,,0.7675794910421262,,0.7675794910421262,,0.23242050895787378,0.19616834819316864
0.2,cdf_real_subset,YouTube-real,,0.6708100705783209,,0.6708100705783209,,0.32918992942167913,0.2908821702003479
0.2,cdf_real_subset,pooled,,0.7348646723646723,,0.7348646723646723,,0.26513532763532766,0.22818823158740997
0.3,validation,pooled,0.993671875,0.9924178601516428,0.98734375,1.0,0.9999977746322672,,
0.3,test_ff,summary,0.9010822728007013,0.8793497677217011,0.8481645456014025,0.954,0.9733813138022592,,
0.3,ood,summary,0.8061382492957848,0.8580197627626225,0.7006929711743969,0.911583527417173,0.8739814440263681,,
0.3,cdf_real_subset,Celeb-real,,0.7796847258836821,,0.7796847258836821,,0.22031527411631785,0.19616834819316864
0.3,cdf_real_subset,YouTube-real,,0.6832402823132835,,0.6832402823132835,,0.3167597176867165,0.2908821702003479
0.3,cdf_real_subset,pooled,,0.747079772079772,,0.747079772079772,,0.25292022792022795,0.22818823158740997
0.4,validation,pooled,0.991796875,0.990171300196574,0.98359375,1.0,0.9999977746322672,,
0.4,test_ff,summary,0.9010774277253961,0.8770812189215355,0.8411548554507923,0.961,0.9733813138022592,,
0.4,ood,summary,0.805140738095237,0.8573153611740675,0.6923947273704169,0.9178867488200572,0.8739814440263681,,
