threshold,split,scope,num_images,mean_fake_prob,fake_positive_rate,real_accuracy
0.1,cdf_fake_only,summary,419919,0.8850092887878418,0.9172530892862671,
0.1,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.2493678377360521,0.7506321622639479
0.1,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.34730854313704834,0.6526914568629516
0.1,cdf_real_subset,pooled,28080,0.2281879335641861,0.2824786324786325,0.7175213675213675
0.2,cdf_fake_only,summary,419919,0.8850092887878418,0.9071820994048853,
0.2,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.23242050895787378,0.7675794910421262
0.2,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.32918992942167913,0.6708100705783209
0.2,cdf_real_subset,pooled,28080,0.2281879335641861,0.26513532763532766,0.7348646723646723
0.3,cdf_fake_only,summary,419919,0.8850092887878418,0.900873739935559,
0.3,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.22031527411631785,0.7796847258836821
0.3,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.3167597176867165,0.6832402823132835
0.3,cdf_real_subset,pooled,28080,0.2281879335641861,0.25292022792022795,0.747079772079772
0.4,cdf_fake_only,summary,419919,0.8850092887878418,0.8951654962028391,
0.4,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.20971646849948888,0.7902835315005111
0.4,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.3070683661645423,0.6929316338354577
0.4,cdf_real_subset,pooled,28080,0.2281879335641861,0.24262820512820513,0.7573717948717948
0.5,cdf_fake_only,summary,419919,0.8850092887878418,0.8897811244549544,
0.5,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.19761123365793296,0.802388766342067
0.5,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.2948488359844096,0.7051511640155904
0.5,cdf_real_subset,pooled,28080,0.2281879335641861,0.23048433048433048,0.7695156695156695
0.6,cdf_fake_only,summary,419919,0.8850092887878418,0.8838537908501402,
0.6,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.187442836391026,0.812557163608974
0.6,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.2842094174655009,0.7157905825344991
0.6,cdf_real_subset,pooled,28080,0.2281879335641861,0.22015669515669517,0.7798433048433049
0.7,cdf_fake_only,summary,419919,0.8850092887878418,0.8766976488322747,
0.7,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.17501479528702857,0.8249852047129714
0.7,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.27051511640155906,0.729484883598441
0.7,cdf_real_subset,pooled,28080,0.2281879335641861,0.2073005698005698,0.7926994301994302
0.8,cdf_fake_only,summary,419919,0.8850092887878418,0.8664432902535966,
0.8,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.15946629364609674,0.8405337063539032
0.8,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.2512377541346255,0.7487622458653744
0.8,cdf_real_subset,pooled,28080,0.2281879335641861,0.19049145299145298,0.809508547008547
0.9,cdf_fake_only,summary,419919,0.8850092887878418,0.8487255875537901,
0.9,cdf_real_subset,Celeb-real,18587,0.19616802036762238,0.13547102813794587,0.8645289718620541
0.9,cdf_real_subset,YouTube-real,9493,0.2908819615840912,0.2250079005583061,0.7749920994416939
0.9,cdf_real_subset,pooled,28080,0.2281879335641861,0.16574074074074074,0.8342592592592593
