setting,pair_region_mode,model,threshold,val_bacc,ff_bacc,ff_real,ff_fake,ood_bacc,ood_real,ood_fake,cdf_real,cdf_fpr
full,all_regions,pair_only,0.2,0.9428217141689736,0.9239473473186038,0.9334999999999999,0.9143946946372079,0.7869818623606997,0.805903034936006,0.7680606897853933,0.3646723646723647,0.6353276353276354
full,all_regions,route_meta_fusion,0.2,0.9808482142857142,0.9503337744521733,0.9555,0.9451675489043464,0.8023888238645558,0.9035052681696557,0.7012723795594561,0.525,0.475
full,canonical,pair_only,0.2,0.9494014021380208,0.9383144199655455,0.9304999999999999,0.946128839931091,0.7809925203314204,0.7639371020823812,0.7980479385804595,0.35505698005698005,0.64494301994302
full,canonical,route_meta_fusion,0.2,0.9805803571428571,0.9502796059141002,0.956,0.9445592118282004,0.8008377555440949,0.90274099322891,0.6989345178592797,0.5257478632478633,0.47425213675213673
full,no_background_keep_hair,pair_only,0.2,0.9443326502618326,0.9275865202913849,0.9349999999999999,0.9201730405827698,0.787428972668546,0.8126246966367798,0.7622332487003121,0.375997150997151,0.624002849002849
full,no_background_keep_hair,route_meta_fusion,0.2,0.9805357142857143,0.9506827599665911,0.9565,0.9448655199331825,0.8015145586470238,0.9038017863032851,0.6992273309907627,0.5254985754985755,0.4745014245014245
no_fr,all_regions,pair_only,0.22000000000000003,0.9496996483189353,0.8882674854143646,0.9025,0.8740349708287292,0.7893833927266153,0.7934675468260144,0.7852992386272163,0.5578347578347579,0.44216524216524217
no_fr,all_regions,route_meta_fusion,0.2,0.9961718749999999,0.8972626872253381,0.9379999999999998,0.856525374450676,0.8071314522302849,0.9036634265987956,0.7105994778617744,0.7338675213675213,0.26613247863247863
no_fr,canonical,pair_only,0.22000000000000003,0.9538007639213169,0.9057032210638193,0.899,0.9124064421276386,0.7823499852837008,0.7283397075635741,0.8363602630038273,0.5530982905982906,0.4469017094017094
no_fr,canonical,route_meta_fusion,0.2,0.9961718749999999,0.8979385671165372,0.9364999999999999,0.8593771342330743,0.8060544425093479,0.9006927945602543,0.7114160904584415,0.7303062678062678,0.2696937321937322
no_fr,no_background_keep_hair,pair_only,0.24000000000000005,0.948789144583236,0.8884342744891522,0.9185000000000001,0.8583685489783044,0.7856457764821475,0.8102224689157062,0.7610690840485886,0.6093304843304843,0.3906695156695157
no_fr,no_background_keep_hair,route_meta_fusion,0.2,0.9961718749999999,0.8972693502485168,0.9379999999999998,0.8565387004970336,0.806686083682017,0.9037812891284229,0.709590878235611,0.7348646723646723,0.26513532763532766
