model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.5300000000000002,validation,0.9783348816523341,0.9774436090225563,0.9762867647058824,0.9803829985987856,0.9964975650465697,,
route_only,0.5300000000000002,test_ff,0.949851583504871,0.9462968786134297,0.9687746980611868,0.9309284689485551,0.9912355184381982,,
route_only,0.5300000000000002,ood,0.7545658467700065,0.7904024459845488,0.820041149254358,0.6890905442856549,0.8398544958322032,,
route_only,0.5300000000000002,cdf_real_subset,,0.25395299145299144,,0.25395299145299144,,0.7460470085470086,0.7394094467163086
patch_only,0.7900000000000005,validation,0.9381521828722148,0.9356285450468276,0.9323529411764706,0.9439514245679589,0.9820276224688848,,
patch_only,0.7900000000000005,test_ff,0.8539398328868598,0.8430987706046064,0.9257521806333219,0.7821274851403975,0.9461490352028804,,
patch_only,0.7900000000000005,ood,0.7756254078575541,0.8161835004829562,0.6999018453087188,0.8513489704063889,0.8173913532341485,,
patch_only,0.7900000000000005,cdf_real_subset,,0.5907763532763532,,0.5907763532763532,,0.40922364672364675,0.49199506640434265
pair_only,0.2,validation,0.9473201774871556,0.9376071758343226,0.925,0.9696403549743111,0.990400307717669,,
pair_only,0.2,test_ff,0.9245447231233237,0.9232647182865346,0.9198006575604412,0.9292887886862063,0.9805939648991094,,
pair_only,0.2,ood,0.7874038786017549,0.813519967444145,0.7605044049627278,0.814303352240782,0.8389885056887745,,
pair_only,0.2,cdf_real_subset,,0.37795584045584046,,0.37795584045584046,,0.6220441595441596,0.3590254783630371
route_meta_fusion,0.2,validation,0.9918967394290739,0.9891834850283604,0.9856617647058824,0.9981317141522653,0.9998646007912739,,
route_meta_fusion,0.2,test_ff,0.9525255700130185,0.9494788190142224,0.9679738700936739,0.9370772699323632,0.9922763563788498,,
route_meta_fusion,0.2,ood,0.7976596533253635,0.8503806914881334,0.7373373834388488,0.8579819232118783,0.8512571948156519,,
route_meta_fusion,0.2,cdf_real_subset,,0.35007122507122507,,0.35007122507122507,,0.6499287749287749,0.5152314305305481
