threshold,split,scope,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,ap,eer,fake_positive_rate,mean_fake_prob
0.1,validation,pooled,0.9934939263538203,0.9920854768500198,0.9902573529411764,0.9967304997664642,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.1,test_ff,summary,0.9470596214104664,0.9424136269442077,0.9767181360367558,0.917401106784177,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.1,ood,summary,0.7898195793351418,0.8401790598230393,0.7648137517804332,0.8148254068898505,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.1,cdf_real_subset,Celeb-real,,0.3300156023026847,,0.3300156023026847,,,,0.6699843976973153,0.4508959949016571
0.1,cdf_real_subset,YouTube-real,,0.14020857473928158,,0.14020857473928158,,,,0.8597914252607184,0.6411981582641602
0.1,cdf_real_subset,pooled,,0.26584757834757833,,0.26584757834757833,,,,0.7341524216524217,0.5152314305305481
0.2,validation,pooled,0.9918967394290739,0.9891834850283604,0.9856617647058824,0.9981317141522653,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.2,test_ff,summary,0.9525255700130185,0.9494788190142224,0.9679738700936739,0.9370772699323632,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.2,ood,summary,0.7976596533253635,0.8503806914881334,0.7373373834388488,0.8579819232118783,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.2,cdf_real_subset,Celeb-real,,0.41991714639264,,0.41991714639264,,,,0.58008285360736,0.4508959949016571
0.2,cdf_real_subset,YouTube-real,,0.21331507426524807,,0.21331507426524807,,,,0.7866849257347519,0.6411981582641602
0.2,cdf_real_subset,pooled,,0.35007122507122507,,0.35007122507122507,,,,0.6499287749287749,0.5152314305305481
0.3,validation,pooled,0.9905752877984448,0.9866772193641999,0.9816176470588235,0.9995329285380663,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.3,test_ff,summary,0.9559720539710765,0.9541087430728675,0.9607245957470312,0.951219512195122,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.3,ood,summary,0.7979405465023875,0.8513958461982414,0.7200569110046846,0.8758241820000906,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.3,cdf_real_subset,Celeb-real,,0.47705385484478396,,0.47705385484478396,,,,0.522946145155216,0.4508959949016571
0.3,cdf_real_subset,YouTube-real,,0.2787316970399242,,0.2787316970399242,,,,0.7212683029600758,0.6411981582641602
0.3,cdf_real_subset,pooled,,0.4100071225071225,,0.4100071225071225,,,,0.5899928774928775,0.5152314305305481
0.4,validation,pooled,0.9883694054455037,0.9835114101042078,0.9772058823529411,0.9995329285380663,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.4,test_ff,summary,0.9574038155776127,0.9564630250729013,0.9533401173204228,0.9614675138348022,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.4,ood,summary,0.8010774568891232,0.8542816353783738,0.7063127667283436,0.8958421470499028,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.4,cdf_real_subset,Celeb-real,,0.5304244902351105,,0.5304244902351105,,,,0.46957550976488943,0.4508959949016571
0.4,cdf_real_subset,YouTube-real,,0.33182344885705256,,0.33182344885705256,,,,0.6681765511429474,0.6411981582641602
0.4,cdf_real_subset,pooled,,0.4632834757834758,,0.4632834757834758,,,,0.5367165242165243,0.5152314305305481
