model,threshold,split,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
route_only,0.7800000000000005,validation,0.9813269606386141,0.9795089206853913,0.9738636363636364,0.9887902849135918,0.997822146617978,,
route_only,0.7800000000000005,test_ff,0.9346054096541472,0.9326863030284516,0.9294690689496142,0.9397417503586801,0.9839920494925307,,
route_only,0.7800000000000005,ood,0.7681817382765743,0.8014301527941791,0.8370204633883854,0.6993430131647629,0.8578405525835932,,
route_only,0.7800000000000005,cdf_real_subset,,0.387037037037037,,0.387037037037037,,0.6129629629629629,0.717184841632843
patch_only,0.7600000000000005,validation,0.9544609305337353,0.9521285991874228,0.9448863636363637,0.964035497431107,0.9877380472166787,,
patch_only,0.7600000000000005,test_ff,0.8415191041514521,0.834238076478838,0.8644278373252451,0.8186103709776593,0.9189750919916976,,
patch_only,0.7600000000000005,ood,0.7939176707321579,0.8261260239893655,0.7395838694235968,0.8482514720407188,0.8198819643483416,,
patch_only,0.7600000000000005,cdf_real_subset,,0.7783475783475784,,0.7783475783475784,,0.22165242165242166,0.2877686023712158
pair_only,0.21000000000000002,validation,0.9417441801834318,0.9387034092916445,0.9292613636363637,0.9542269967304998,0.9875108806420109,,
pair_only,0.21000000000000002,test_ff,0.8899459232924137,0.8878797977880274,0.8774528221945835,0.9024390243902439,0.9616319027046222,,
pair_only,0.21000000000000002,ood,0.7833947082156353,0.7975716063956909,0.7782528090396611,0.7885366073916092,0.8537218258129635,,
pair_only,0.21000000000000002,cdf_real_subset,,0.5771011396011396,,0.5771011396011396,,0.4228988603988604,0.22908511757850647
route_meta_fusion,0.24000000000000005,validation,0.9957482564434632,0.9950538774068186,0.9928977272727273,0.998598785614199,0.9999166702050868,,
route_meta_fusion,0.24000000000000005,test_ff,0.9209540380381089,0.9194238762735976,0.9052407262094422,0.9366673498667761,0.9811516396675415,,
route_meta_fusion,0.24000000000000005,ood,0.8078305890757608,0.8561522471338477,0.7527347796156252,0.8629263985358965,0.867089110358786,,
route_meta_fusion,0.24000000000000005,cdf_real_subset,,0.6471509971509971,,0.6471509971509971,,0.35284900284900284,0.30904075503349304
