threshold,split,scope,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
0.1,validation,pooled,0.9976044674323807,0.9977035859388801,0.9980113636363637,0.9971975712283979,0.9999166702050868,,
0.1,test_ff,summary,0.9244350459028915,0.9202533787243814,0.9384376261365881,0.9104324656691947,0.9811516396675415,,
0.1,ood,summary,0.7919793162712915,0.8343670029832718,0.7919705839669549,0.7919880485756282,0.867089110358786,,
0.1,cdf_real_subset,Celeb-real,,0.520578899230645,,0.520578899230645,,0.4794211007693549,0.27052077651023865
0.1,cdf_real_subset,YouTube-real,,0.3682713578426209,,0.3682713578426209,,0.6317286421573791,0.3844616413116455
0.1,cdf_real_subset,pooled,,0.4690883190883191,,0.4690883190883191,,0.530911680911681,0.30904075503349304
0.2,validation,pooled,0.9956567661670417,0.9950538774068186,0.9931818181818182,0.9981317141522653,0.9999166702050868,,
0.2,test_ff,summary,0.9212283801410063,0.9190802003627864,0.9121431714318382,0.9303135888501743,0.9811516396675415,,
0.2,ood,summary,0.8035546007705198,0.8516756591773323,0.7602677996038151,0.8468414019372242,0.867089110358786,,
0.2,cdf_real_subset,Celeb-real,,0.6485715822886964,,0.6485715822886964,,0.3514284177113036,0.27052077651023865
0.2,cdf_real_subset,YouTube-real,,0.5192246918782261,,0.5192246918782261,,0.48077530812177394,0.3844616413116455
0.2,cdf_real_subset,pooled,,0.6048433048433048,,0.6048433048433048,,0.39515669515669516,0.30904075503349304
0.3,validation,pooled,0.9949874739926118,0.993993993993994,0.990909090909091,0.9990658570761326,0.9999166702050868,,
0.3,test_ff,summary,0.9208557080594603,0.9201462120388577,0.896435744874813,0.9452756712441073,0.9811516396675415,,
0.3,ood,summary,0.8113766262071175,0.8597605836694634,0.7444767339512235,0.8782765184630116,0.867089110358786,,
0.3,cdf_real_subset,Celeb-real,,0.7187281433259806,,0.7187281433259806,,0.2812718566740195,0.27052077651023865
0.3,cdf_real_subset,YouTube-real,,0.5987569788265037,,0.5987569788265037,,0.40124302117349625,0.3844616413116455
0.3,cdf_real_subset,pooled,,0.6781695156695157,,0.6781695156695157,,0.32183048433048433,0.30904075503349304
0.4,validation,pooled,0.993800555178124,0.9924041688747571,0.9880681818181818,0.9995329285380663,0.9999166702050868,,
0.4,test_ff,summary,0.919750952725142,0.92013818986019,0.8839782325664964,0.9555236728837878,0.9811516396675415,,
0.4,ood,summary,0.8127011440241464,0.8616708233945483,0.7312414099292841,0.8941608781190086,0.867089110358786,,
0.4,cdf_real_subset,Celeb-real,,0.7453058589336633,,0.7453058589336633,,0.2546941410663367,0.27052077651023865
0.4,cdf_real_subset,YouTube-real,,0.6300431897187401,,0.6300431897187401,,0.3699568102812599,0.3844616413116455
0.4,cdf_real_subset,pooled,,0.7063390313390313,,0.7063390313390313,,0.29366096866096864,0.30904075503349304
0.5,validation,pooled,0.9930903279053969,0.9915209326974033,0.9866477272727273,0.9995329285380663,0.9999166702050868,,
0.5,test_ff,summary,0.9167473253867361,0.9178827774996962,0.8718221769058763,0.9616724738675958,0.9811516396675415,,
0.5,ood,summary,0.8122195908076408,0.8618541371467571,0.7182080363399251,0.9062311452753566,0.867089110358786,,
0.5,cdf_real_subset,Celeb-real,,0.7653198472050358,,0.7653198472050358,,0.2346801527949642,0.27052077651023865
0.5,cdf_real_subset,YouTube-real,,0.6554303170757401,,0.6554303170757401,,0.34456968292426,0.3844616413116455
0.5,cdf_real_subset,pooled,,0.7281695156695157,,0.7281695156695157,,0.27183048433048435,0.30904075503349304
0.6,validation,pooled,0.9901073733599423,0.9878113407525172,0.9806818181818182,0.9995329285380663,0.9999166702050868,,
0.6,test_ff,summary,0.9144021656099435,0.9165356996605006,0.8581136159093721,0.9706907153105147,0.9811516396675415,,
0.6,ood,summary,0.8092697078599658,0.8595618148321224,0.7023752716857055,0.9161641440342264,0.867089110358786,,
0.6,cdf_real_subset,Celeb-real,,0.7828589874643568,,0.7828589874643568,,0.2171410125356432,0.27052077651023865
0.6,cdf_real_subset,YouTube-real,,0.6761824502264827,,0.6761824502264827,,0.32381754977351734,0.3844616413116455
0.6,cdf_real_subset,pooled,,0.7467948717948718,,0.7467948717948718,,0.2532051282051282,0.30904075503349304
0.7,validation,pooled,0.9868403279053968,0.9837484543366897,0.9741477272727272,0.9995329285380663,0.9999166702050868,,
0.7,test_ff,summary,0.9096582183616837,0.912603936072727,0.8428868404946321,0.9764295962287354,0.9811516396675415,,
0.7,ood,summary,0.8074008015405215,0.8586353949644976,0.6884113963205665,0.9263902067604767,0.867089110358786,,
0.7,cdf_real_subset,Celeb-real,,0.8017969548609243,,0.8017969548609243,,0.1982030451390757,0.27052077651023865
0.7,cdf_real_subset,YouTube-real,,0.6989360581481091,,0.6989360581481091,,0.3010639418518909,0.3844616413116455
0.7,cdf_real_subset,pooled,,0.767022792022792,,0.767022792022792,,0.23297720797720797,0.30904075503349304
0.8,validation,pooled,0.9834312369963059,0.9795089206853913,0.9673295454545454,0.9995329285380663,0.9999166702050868,,
0.8,test_ff,summary,0.9028379180735416,0.9067257097769182,0.8235073590001272,0.9821684771469563,0.9811516396675415,,
0.8,ood,summary,0.8048475781077816,0.856715179351898,0.6718818083711179,0.9378133478444456,0.867089110358786,,
0.8,cdf_real_subset,Celeb-real,,0.822295152525959,,0.822295152525959,,0.177704847474041,0.27052077651023865
0.8,cdf_real_subset,YouTube-real,,0.724428526282524,,0.724428526282524,,0.27557147371747603,0.3844616413116455
0.8,cdf_real_subset,pooled,,0.7892094017094017,,0.7892094017094017,,0.2107905982905983,0.30904075503349304
0.9,validation,pooled,0.9729198733599422,0.9664370252605546,0.9463068181818182,0.9995329285380663,0.9999166702050868,,
0.9,test_ff,summary,0.8890542810716342,0.8944586068311342,0.789176403914123,0.9889321582291454,0.9811516396675415,,
0.9,ood,summary,0.7979253126003182,0.8511490334961271,0.6418695766812776,0.9539810485193586,0.867089110358786,,
0.9,cdf_real_subset,Celeb-real,,0.8539839672889654,,0.8539839672889654,,0.14601603271103458,0.27052077651023865
0.9,cdf_real_subset,YouTube-real,,0.7616138207099968,,0.7616138207099968,,0.23838617929000316,0.3844616413116455
0.9,cdf_real_subset,pooled,,0.8227564102564102,,0.8227564102564102,,0.17724358974358975,0.30904075503349304
