threshold,split,scope,num_images,mean_fake_prob,fake_positive_rate,real_accuracy
0.1,cdf_fake_only,summary,419919,0.9077063202857971,0.9618664551973118,
0.1,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.4794211007693549,0.520578899230645
0.1,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.6317286421573791,0.3682713578426209
0.1,cdf_real_subset,pooled,28080,0.3090401589870453,0.530911680911681,0.4690883190883191
0.2,cdf_fake_only,summary,419919,0.9077063202857971,0.9423388796410737,
0.2,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.3514284177113036,0.6485715822886964
0.2,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.48077530812177394,0.5192246918782261
0.2,cdf_real_subset,pooled,28080,0.3090401589870453,0.39515669515669516,0.6048433048433048
0.3,cdf_fake_only,summary,419919,0.9077063202857971,0.9305985201907987,
0.3,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.2812718566740195,0.7187281433259806
0.3,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.40124302117349625,0.5987569788265037
0.3,cdf_real_subset,pooled,28080,0.3090401589870453,0.32183048433048433,0.6781695156695157
0.4,cdf_fake_only,summary,419919,0.9077063202857971,0.921744431664202,
0.4,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.2546941410663367,0.7453058589336633
0.4,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.3699568102812599,0.6300431897187401
0.4,cdf_real_subset,pooled,28080,0.3090401589870453,0.29366096866096864,0.7063390313390313
0.5,cdf_fake_only,summary,419919,0.9077063202857971,0.9123140415175308,
0.5,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.2346801527949642,0.7653198472050358
0.5,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.34456968292426,0.6554303170757401
0.5,cdf_real_subset,pooled,28080,0.3090401589870453,0.27183048433048435,0.7281695156695157
0.6,cdf_fake_only,summary,419919,0.9077063202857971,0.9023787921003813,
0.6,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.2171410125356432,0.7828589874643568
0.6,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.32381754977351734,0.6761824502264827
0.6,cdf_real_subset,pooled,28080,0.3090401589870453,0.2532051282051282,0.7467948717948718
0.7,cdf_fake_only,summary,419919,0.9077063202857971,0.8909313462834499,
0.7,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.1982030451390757,0.8017969548609243
0.7,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.3010639418518909,0.6989360581481091
0.7,cdf_real_subset,pooled,28080,0.3090401589870453,0.23297720797720797,0.767022792022792
0.8,cdf_fake_only,summary,419919,0.9077063202857971,0.8771906010444872,
0.8,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.177704847474041,0.822295152525959
0.8,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.27557147371747603,0.724428526282524
0.8,cdf_real_subset,pooled,28080,0.3090401589870453,0.2107905982905983,0.7892094017094017
0.9,cdf_fake_only,summary,419919,0.9077063202857971,0.8547172192732408,
0.9,cdf_real_subset,Celeb-real,18587,0.2705201506614685,0.14601603271103458,0.8539839672889654
0.9,cdf_real_subset,YouTube-real,9493,0.3844611644744873,0.23838617929000316,0.7616138207099968
0.9,cdf_real_subset,pooled,28080,0.3090401589870453,0.17724358974358975,0.8227564102564102
